chiN,fA,tau,density_profile,density_image,normalized_fft,dot_product_vector,dot_cluster
28.068152,0.309524,0.571429,[0.94561174 0.94297208 0.93450285 ... 0.9251527  0.9374203  0.94297208],"[[0.94561174 0.94297208 0.93450285 ... 0.91839463 0.93450285 0.94297208]
 [0.94297208 0.94297208 0.9374203  ... 0.90353066 0.9251527  0.9374203 ]
 [0.93450285 0.9374203  0.93450285 ... 0.87759667 0.907422   0.9251527 ]
 ...
 [0.91839463 0.90353066 0.87759667 ... 0.91839463 0.9251527  0.9251527 ]
 [0.93450285 0.9251527  0.907422   ... 0.9251527  0.93450285 0.9374203 ]
 [0.94297208 0.9374203  0.9251527  ... 0.9251527  0.9374203  0.94297208]]","[[ 7.34398616e-01+0.00000000e+00j  2.73661182e-01+3.91027646e-18j
  -6.26466239e-03+3.05262928e-19j ... -1.23566827e-02-5.28827835e-18j
  -6.26466239e-03+2.75543706e-19j  2.73661182e-01-3.83591638e-18j]
 [ 2.73661182e-01+1.43779546e-17j  2.92845545e-02+4.79954354e-18j
  -2.00180246e-02+3.74165719e-19j ... -2.00180246e-02+2.57951351e-19j
   2.92845545e-02-1.29575475e-19j  2.73661182e-01+2.85392315e-19j]
 [-6.26466239e-03+1.09730343e-19j -2.00180246e-02-1.72476547e-18j
  -2.36926629e-03-8.75593055e-20j ... -2.00180246e-02+1.56749902e-18j
  -6.26466239e-03-3.29866857e-19j  2.92845545e-02-4.05450067e-18j]
 ...
 [-1.23566827e-02-4.49376883e-18j -2.00180246e-02+7.79619435e-20j
  -2.00180246e-02+1.43299862e-18j ...  2.60110856e-04+7.93138569e-19j
   2.56228108e-03-1.33266246e-19j -4.23564950e-04-3.48754860e-18j]
 [-6.26466239e-03+3.72099807e-20j  2.92845545e-02+1.99067921e-18j
  -6.26466239e-03+8.20396109e-20j ...  2.56228108e-03-1.25729062e-19j
  -2.36926629e-03+1.70488876e-19j -2.00180246e-02+1.96129469e-18j]
 [ 2.73661182e-01-9.68033224e-18j  2.73661182e-01-9.26508532e-18j
   2.92845545e-02-1.58765442e-18j ... -4.23564950e-04-5.94251605e-18j
  -2.00180246e-02+1.38168008e-18j  2.92845545e-02-1.64214918e-18j]]",[0.96050429 0.62640363 0.85639314 0.63426818 0.73439862],1
29.180205,0.304878,0.627907,[0.9493721  0.94673207 0.93822483 ... 0.92877611 0.94116136 0.94673207],"[[0.9493721  0.94673207 0.93822483 ... 0.92191527 0.93822483 0.94673207]
 [0.94673207 0.94673207 0.94116136 ... 0.9067487  0.92877611 0.94116136]
 [0.93822483 0.94116136 0.93822483 ... 0.88009302 0.91072866 0.92877611]
 ...
 [0.92191527 0.9067487  0.88009302 ... 0.92191527 0.92877611 0.92877611]
 [0.93822483 0.92877611 0.91072866 ... 0.92877611 0.93822483 0.94116136]
 [0.94673207 0.94116136 0.92877611 ... 0.92877611 0.94116136 0.94673207]]","[[ 7.28311252e-01+0.00000000e+00j  2.75884768e-01+2.37672579e-18j
  -4.08330510e-03+2.41646323e-19j ... -1.32906039e-02-3.92729829e-18j
  -4.08330510e-03+2.52308093e-19j  2.75884768e-01-2.36458512e-18j]
 [ 2.75884768e-01+3.61954072e-19j  3.28052799e-02-3.30147313e-18j
  -2.04357813e-02-2.64506225e-19j ... -2.04357813e-02-6.55181195e-20j
   3.28052799e-02+1.25789751e-18j  2.75884768e-01+5.74987661e-18j]
 [-4.08330510e-03+5.85228630e-20j -2.04357813e-02-3.97963620e-18j
  -3.10783652e-03+3.67423562e-20j ... -2.04357813e-02+1.96171654e-18j
  -4.08330510e-03-4.40491256e-19j  3.28052799e-02+4.76676330e-19j]
 ...
 [-1.32906039e-02-6.40543825e-18j -2.04357813e-02+1.90662112e-18j
  -2.04357813e-02+1.33762151e-18j ...  4.17207774e-04+1.25276731e-18j
   2.66617707e-03-1.10232146e-18j -1.02488900e-03-5.31877741e-18j]
 [-4.08330510e-03+4.54411083e-20j  3.28052799e-02-6.10381807e-20j
  -4.08330510e-03-4.11196383e-19j ...  2.66617707e-03-4.02701370e-19j
  -3.10783652e-03+2.00942522e-20j -2.04357813e-02+1.56347622e-18j]
 [ 2.75884768e-01+1.88710382e-18j  2.75884768e-01-5.06920448e-19j
   3.28052799e-02-1.81915967e-19j ... -1.02488900e-03-4.17508159e-18j
  -2.04357813e-02-1.48931068e-19j  3.28052799e-02+8.47914267e-19j]]",[0.95694176 0.61660265 0.85061603 0.62515497 0.72831125],1
28.960748,0.342105,0.72,[0.9684373  0.96658056 0.96057614 ... 0.95386525 0.96265258 0.96658056],"[[0.9684373  0.96658056 0.96057614 ... 0.94896183 0.96057614 0.96658056]
 [0.96658056 0.96658056 0.96265258 ... 0.93802688 0.95386525 0.96265258]
 [0.96057614 0.96265258 0.96057614 ... 0.91847021 0.94091045 0.95386525]
 ...
 [0.94896183 0.93802688 0.91847021 ... 0.94896183 0.95386525 0.95386525]
 [0.96057614 0.95386525 0.94091045 ... 0.95386525 0.96057614 0.96265258]
 [0.96658056 0.96265258 0.95386525 ... 0.95386525 0.96265258 0.96658056]]","[[ 7.50333058e-01+0.00000000e+00j  2.66565477e-01+1.63403415e-18j
  -1.52364777e-02+3.36019676e-19j ... -1.17626761e-02-4.86153401e-18j
  -1.52364777e-02+3.56454576e-19j  2.66565477e-01-1.26619341e-18j]
 [ 2.66565477e-01+6.02636347e-18j  1.97065054e-02+2.24700737e-18j
  -2.19889597e-02-1.06086879e-18j ... -2.19889597e-02-9.35561907e-19j
   1.97065054e-02-1.27780508e-19j  2.66565477e-01+5.65874555e-18j]
 [-1.52364777e-02+3.56698759e-19j -2.19889597e-02-2.53900842e-19j
  -2.62648790e-04+2.44018414e-19j ... -2.19889597e-02+8.80459821e-19j
  -1.52364777e-02+7.01420741e-19j  1.97065054e-02-3.13423871e-18j]
 ...
 [-1.17626761e-02-3.97275002e-18j -2.19889597e-02-3.29321661e-18j
  -2.19889597e-02+6.88128702e-19j ... -2.33955632e-04-1.22119115e-18j
   3.07038141e-03-4.44014978e-19j  1.60909120e-03-2.56535254e-18j]
 [-1.52364777e-02+2.88154380e-19j  1.97065054e-02+2.41640994e-18j
  -1.52364777e-02+8.42199501e-19j ...  3.07038141e-03+5.10269190e-19j
  -2.62648790e-04+2.63527279e-19j -2.19889597e-02+1.22780691e-18j]
 [ 2.66565477e-01-3.68555881e-18j  2.66565477e-01-9.27427568e-18j
   1.97065054e-02-1.60548824e-20j ...  1.60909120e-03-3.58856815e-18j
  -2.19889597e-02+9.49816165e-19j  1.97065054e-02+9.98873148e-19j]]",[0.96943238 0.65312129 0.86997678 0.65870838 0.75033306],1
33.683398,0.25,0.648649,[0.93931034 0.9353381  0.92236037 ... 0.90769104 0.92686818 0.9353381 ],"[[0.93931034 0.9353381  0.92236037 ... 0.89691545 0.92236037 0.9353381 ]
 [0.9353381  0.9353381  0.92686818 ... 0.87286434 0.90769104 0.92686818]
 [0.92236037 0.92686818 0.92236037 ... 0.8303585  0.87919734 0.90769104]
 ...
 [0.89691545 0.87286434 0.8303585  ... 0.89691545 0.90769104 0.90769104]
 [0.92236037 0.90769104 0.87919734 ... 0.90769104 0.92236037 0.92686818]
 [0.9353381  0.92686818 0.90769104 ... 0.90769104 0.92686818 0.9353381 ]]","[[ 0.68714337+0.00000000e+00j  0.28662404+1.14502040e-19j
   0.02293649-6.38037483e-20j ... -0.01559358-4.80237336e-18j
   0.02293649-3.36884775e-19j  0.28662404-2.09955465e-19j]
 [ 0.28662404+2.78772739e-18j  0.06629446-5.04963970e-18j
  -0.01505366+3.93108718e-19j ... -0.01505366-3.12613211e-18j
   0.06629446-2.77976297e-18j  0.28662404+1.42987734e-18j]
 [ 0.02293649-3.01266732e-19j -0.01505366-2.40383135e-18j
  -0.00911225-1.49381394e-19j ... -0.01505366-1.61708912e-18j
   0.02293649-5.09993082e-19j  0.06629446-4.57278358e-18j]
 ...
 [-0.01559358-5.15500630e-18j -0.01505366-2.23695406e-18j
  -0.01505366+2.49317830e-18j ...  0.00151042-1.17418970e-18j
   0.00071093-3.19896654e-18j -0.00699683+8.73092519e-19j]
 [ 0.02293649-2.56269382e-19j  0.06629446+1.11446225e-18j
   0.02293649-1.53626792e-18j ...  0.00071093-2.64795828e-18j
  -0.00911225-4.80061206e-19j -0.01505366+4.97819712e-19j]
 [ 0.28662404-4.06354389e-18j  0.28662404+2.29280623e-18j
   0.06629446-1.10696378e-18j ... -0.00699683-4.50585819e-18j
  -0.01505366+4.86931396e-19j  0.06629446+1.66650332e-18j]]",[0.91823953 0.53578663 0.80523868 0.55284083 0.68714337],1
33.46304,0.341463,0.586957,[0.98348094 0.98248172 0.9792856  ... 0.97575298 0.9803858  0.98248172],"[[0.98348094 0.98248172 0.9792856  ... 0.97318367 0.9792856  0.98248172]
 [0.98248172 0.98248172 0.9803858  ... 0.96744921 0.97575298 0.9803858 ]
 [0.9792856  0.9803858  0.9792856  ... 0.95704039 0.96896408 0.97575298]
 ...
 [0.97318367 0.96744921 0.95704039 ... 0.97318367 0.97575298 0.97575298]
 [0.9792856  0.97575298 0.96896408 ... 0.97575298 0.9792856  0.9803858 ]
 [0.98248172 0.9803858  0.97575298 ... 0.97575298 0.9803858  0.98248172]]","[[ 0.69914798+0.00000000e+00j  0.28618459-5.93591370e-19j
  -0.03250536+4.03454065e-19j ... -0.0116308 -4.73401838e-18j
  -0.03250536+6.29071312e-19j  0.28618459+1.21860678e-19j]
 [ 0.28618459+6.93109219e-18j  0.00543897+2.20135643e-18j
  -0.0298069 -5.63957424e-19j ... -0.0298069 -1.12002498e-18j
   0.00543897+3.38565033e-19j  0.28618459+3.20183411e-19j]
 [-0.03250536+8.56977617e-19j -0.0298069 +3.04588072e-18j
   0.00558543+8.21743038e-19j ... -0.0298069 +1.42730279e-18j
  -0.03250536+1.66095240e-18j  0.00543897-6.93781412e-18j]
 ...
 [-0.0116308 -6.25889772e-18j -0.0298069 -2.43731069e-18j
  -0.0298069 +3.38238920e-19j ... -0.00224176+1.16066514e-18j
   0.00451482-4.84457148e-19j  0.00773027-4.03903070e-18j]
 [-0.03250536+7.10081320e-19j  0.00543897+2.03470444e-18j
  -0.03250536+1.53479572e-18j ...  0.00451482+2.30516880e-19j
   0.00558543+4.60529557e-19j -0.0298069 +7.16242157e-18j]
 [ 0.28618459-5.59914670e-18j  0.28618459+4.28767648e-19j
   0.00543897+1.06827782e-21j ...  0.00773027-4.75694003e-18j
  -0.0298069 +2.31066106e-18j  0.00543897+2.55681795e-18j]]",[0.97266294 0.6325849  0.84289    0.62755459 0.69914798],1
23.568053,0.354839,0.95,[0.99754832 0.99728134 0.99634274 ... 0.99515981 0.99668041 0.99728134],"[[0.99754832 0.99728134 0.99634274 ... 0.99420474 0.99634274 0.99728134]
 [0.99728134 0.99728134 0.99668041 ... 0.99180237 0.99515981 0.99668041]
 [0.99634274 0.99668041 0.99634274 ... 0.9865184  0.99247727 0.99515981]
 ...
 [0.99420474 0.99180237 0.9865184  ... 0.99420474 0.99515981 0.99515981]
 [0.99634274 0.99515981 0.99247727 ... 0.99515981 0.99634274 0.99668041]
 [0.99728134 0.99668041 0.99515981 ... 0.99515981 0.99668041 0.99728134]]","[[ 7.19894578e-01+0.00000000e+00j  2.74138199e-01-1.12519846e-18j
  -2.06425008e-02+1.00543855e-18j ... -2.33293338e-02-6.28149423e-18j
  -2.06425008e-02+9.16447523e-19j  2.74138199e-01+5.34049873e-19j]
 [ 2.74138199e-01-5.94043579e-19j  2.81219988e-02-8.05099342e-18j
  -3.81544923e-02-9.08956150e-19j ... -3.81544923e-02-1.08264469e-18j
   2.81219988e-02-1.23652364e-18j  2.74138199e-01-4.46856064e-18j]
 [-2.06425008e-02+2.62321941e-19j -3.81544923e-02-7.65217944e-18j
   2.79217050e-04-3.75507149e-19j ... -3.81544923e-02+1.51503095e-18j
  -2.06425008e-02+2.90827657e-19j  2.81219988e-02-4.08703689e-18j]
 ...
 [-2.33293338e-02-1.46335526e-17j -3.81544923e-02+4.42280888e-18j
  -3.81544923e-02+3.45464122e-18j ... -1.28958645e-03+2.42449003e-18j
   9.28347686e-03-1.20040055e-18j  4.18173394e-03-1.04453077e-17j]
 [-2.06425008e-02+5.30578150e-19j  2.81219988e-02+5.21436133e-18j
  -2.06425008e-02+1.81008621e-19j ...  9.28347686e-03-1.28214988e-18j
   2.79217050e-04-4.40312998e-19j -3.81544923e-02+3.94306983e-18j]
 [ 2.74138199e-01+4.44338323e-18j  2.74138199e-01+7.35583120e-18j
   2.81219988e-02-6.28254656e-19j ...  4.18173394e-03-7.54562369e-18j
  -3.81544923e-02+2.27239075e-18j  2.81219988e-02+7.19414553e-18j]]",[0.95671963 0.61753525 0.83997109 0.6239787  0.71989458],1
27.754857,0.2625,0.731707,[0.88183231 0.87511001 0.85375152 ... 0.83069223 0.86106613 0.87511001],"[[0.88183231 0.87511001 0.85375152 ... 0.81444415 0.85375152 0.87511001]
 [0.87511001 0.87511001 0.86106613 ... 0.78009841 0.83069223 0.86106613]
 [0.85375152 0.86106613 0.85375152 ... 0.72496432 0.78889949 0.83069223]
 ...
 [0.81444415 0.78009841 0.72496432 ... 0.81444415 0.83069223 0.83069223]
 [0.85375152 0.83069223 0.78889949 ... 0.83069223 0.85375152 0.86106613]
 [0.87511001 0.86106613 0.83069223 ... 0.83069223 0.86106613 0.87511001]]","[[ 7.83181882e-01+0.00000000e+00j  2.43071550e-01-9.19239816e-19j
   2.99003137e-02+1.51306999e-19j ... -6.76454615e-03-5.88509908e-18j
   2.99003137e-02-6.55759885e-20j  2.43071550e-01+1.56240335e-18j]
 [ 2.43071550e-01+4.69090276e-18j  6.56348435e-02-7.80999642e-19j
  -3.33102338e-03+6.75966607e-19j ... -3.33102338e-03-3.09389537e-18j
   6.56348435e-02-2.50242915e-18j  2.43071550e-01+5.95335369e-18j]
 [ 2.99003137e-02-4.15192856e-20j -3.33102338e-03-5.42277377e-19j
  -5.47222859e-03-4.04427567e-19j ... -3.33102338e-03-1.88164948e-18j
   2.99003137e-02-1.48540644e-18j  6.56348435e-02-3.66334535e-18j]
 ...
 [-6.76454615e-03-5.96165739e-18j -3.33102338e-03-4.36177786e-18j
  -3.33102338e-03-8.00993473e-19j ...  3.49034525e-04-1.40509100e-19j
  -9.83517340e-04-2.92099004e-18j -4.72418350e-03-4.87008585e-18j]
 [ 2.99003137e-02-7.55966928e-20j  6.56348435e-02+1.00821271e-18j
   2.99003137e-02-1.89574523e-18j ... -9.83517340e-04-1.59900788e-18j
  -5.47222859e-03+1.85412843e-20j -3.33102338e-03+2.19803234e-18j]
 [ 2.43071550e-01-5.75073266e-18j  2.43071550e-01+1.40385592e-18j
   6.56348435e-02-1.35338138e-18j ... -4.72418350e-03-5.47031521e-18j
  -3.33102338e-03+3.30191961e-19j  6.56348435e-02+1.01728959e-18j]]",[0.92541275 0.6133801  0.86357752 0.63981724 0.78318188],1
24.16065,0.28866,0.981481,[0.99822309 0.99798042 0.9970871  ... 0.99588929 0.99741447 0.99798042],"[[0.99822309 0.99798042 0.9970871  ... 0.99487088 0.9970871  0.99798042]
 [0.99798042 0.99798042 0.99741447 ... 0.99213371 0.99588929 0.99741447]
 [0.9970871  0.99741447 0.9970871  ... 0.98547488 0.99292488 0.99588929]
 ...
 [0.99487088 0.99213371 0.98547488 ... 0.99487088 0.99588929 0.99588929]
 [0.9970871  0.99588929 0.99292488 ... 0.99588929 0.9970871  0.99741447]
 [0.99798042 0.99741447 0.99588929 ... 0.99588929 0.99741447 0.99798042]]","[[ 0.634648  +0.00000000e+00j  0.30276104+2.57845235e-18j
  -0.0029821 +1.40131875e-18j ... -0.03288882-5.34410394e-18j
  -0.0029821 +6.89730640e-19j  0.30276104-3.47235075e-18j]
 [ 0.30276104+1.59836331e-18j  0.05135122-4.52753677e-19j
  -0.04113935-2.08440798e-19j ... -0.04113935-2.61327354e-18j
   0.05135122-7.02772284e-19j  0.30276104-1.85525517e-18j]
 [-0.0029821 +1.14664681e-19j -0.04113935-4.18874776e-18j
  -0.00973536-5.98954688e-19j ... -0.04113935+3.67409054e-19j
  -0.0029821 -6.35468192e-19j  0.05135122-5.49351147e-18j]
 ...
 [-0.03288882-3.33263133e-18j -0.04113935-6.10269185e-19j
  -0.04113935+2.38143186e-18j ...  0.00270169+3.46436434e-18j
   0.01103331-6.10594837e-19j -0.00433947-8.03464474e-18j]
 [-0.0029821 +1.12942257e-19j  0.05135122+1.51154487e-18j
  -0.0029821 -1.76497996e-18j ...  0.01103331+9.43808575e-19j
  -0.00973536-4.42494257e-19j -0.04113935+3.06577203e-18j]
 [ 0.30276104-7.31931304e-18j  0.30276104+4.71573003e-18j
   0.05135122-1.76213364e-18j ... -0.00433947-3.77378419e-18j
  -0.04113935+1.53299062e-18j  0.05135122-7.85717075e-19j]]",[0.91634715 0.5151597  0.77128241 0.52346053 0.634648  ],1
32.373104,0.37,0.862069,[0.99579526 0.99531094 0.99364943 ... 0.99162317 0.99424043 0.99531094],"[[0.99579526 0.99531094 0.99364943 ... 0.99002891 0.99364943 0.99531094]
 [0.99531094 0.99531094 0.99424043 ... 0.98614043 0.99162317 0.99424043]
 [0.99364943 0.99424043 0.99364943 ... 0.97806165 0.98721451 0.99162317]
 ...
 [0.99002891 0.98614043 0.97806165 ... 0.99002891 0.99162317 0.99162317]
 [0.99364943 0.99162317 0.98721451 ... 0.99162317 0.99364943 0.99424043]
 [0.99531094 0.99424043 0.99162317 ... 0.99162317 0.99424043 0.99531094]]","[[ 7.51922748e-01+0.00000000e+00j  2.60915798e-01+4.03494950e-18j
  -1.97661440e-02+2.79358270e-19j ... -1.96206726e-02-6.45610587e-18j
  -1.97661440e-02+1.53140338e-19j  2.60915798e-01-4.93005690e-18j]
 [ 2.60915798e-01+3.72071141e-18j  3.01461495e-02-4.34777921e-19j
  -3.45750789e-02+9.60763518e-20j ... -3.45750789e-02-2.71232955e-18j
   3.01461495e-02-4.01928634e-19j  2.60915798e-01-2.25809589e-18j]
 [-1.97661440e-02+1.55863947e-19j -3.45750789e-02+6.65379239e-19j
   6.41557188e-04+2.13910897e-19j ... -3.45750789e-02+1.49330882e-18j
  -1.97661440e-02+4.85254326e-19j  3.01461495e-02+1.17108519e-18j]
 ...
 [-1.96206726e-02-3.91804957e-18j -3.45750789e-02-3.90372895e-18j
  -3.45750789e-02+8.29842539e-19j ... -9.19060524e-04+3.50392235e-18j
   7.16104883e-03-5.75406016e-19j  3.65109642e-03-6.70953285e-18j]
 [-1.97661440e-02+1.94490804e-19j  3.01461495e-02-3.01066437e-18j
  -1.97661440e-02+7.85766450e-19j ...  7.16104883e-03-9.81254985e-20j
   6.41557188e-04+6.85209625e-20j -3.45750789e-02-1.53337453e-19j]
 [ 2.60915798e-01-2.97708373e-18j  2.60915798e-01+6.23788110e-18j
   3.01461495e-02-7.54928787e-19j ...  3.65109642e-03-6.12270830e-18j
  -3.45750789e-02-4.94222712e-21j  3.01461495e-02-1.30723879e-18j]]",[0.96099724 0.64189123 0.85900424 0.65040299 0.75192275],1
26.982926,0.306723,0.688889,[0.92638239 0.92264059 0.91068253 ... 0.89759226 0.91479241 0.92264059],"[[0.92638239 0.92264059 0.91068253 ... 0.88821841 0.91068253 0.92264059]
 [0.92264059 0.92264059 0.91479241 ... 0.86789209 0.89759226 0.91479241]
 [0.91068253 0.91479241 0.91068253 ... 0.83345169 0.87317376 0.89759226]
 ...
 [0.88821841 0.86789209 0.83345169 ... 0.88821841 0.89759226 0.89759226]
 [0.91068253 0.89759226 0.87317376 ... 0.89759226 0.91068253 0.91479241]
 [0.92264059 0.91479241 0.89759226 ... 0.89759226 0.91479241 0.92264059]]","[[ 7.69723650e-01+0.00000000e+00j  2.56654130e-01+8.23025147e-18j
   4.68579897e-03-7.55508460e-20j ... -1.05425368e-02-6.49420152e-18j
   4.68579897e-03-9.55725414e-21j  2.56654130e-01-6.24915719e-18j]
 [ 2.56654130e-01+5.86679582e-18j  3.85207774e-02+3.74133849e-18j
  -1.41098075e-02-3.42392211e-19j ... -1.41098075e-02-1.78064550e-18j
   3.85207774e-02+1.05031448e-18j  2.56654130e-01-3.63235883e-18j]
 [ 4.68579897e-03-6.98530612e-20j -1.41098075e-02-2.03600645e-18j
  -3.89597920e-03-2.90799357e-19j ... -1.41098075e-02+1.90842014e-19j
   4.68579897e-03+1.45110991e-19j  3.85207774e-02-2.80660655e-18j]
 ...
 [-1.05425368e-02-4.36668347e-18j -1.41098075e-02-1.58235777e-18j
  -1.41098075e-02+9.54434587e-19j ...  5.28466503e-04+7.15526008e-19j
   1.24776736e-03-1.60930461e-18j -2.38568397e-03+2.13004567e-19j]
 [ 4.68579897e-03-7.52445508e-20j  3.85207774e-02-3.10029737e-18j
   4.68579897e-03+2.89147419e-20j ...  1.24776736e-03-2.13480915e-18j
  -3.89597920e-03-3.38956397e-19j -1.41098075e-02+3.37401833e-18j]
 [ 2.56654130e-01-4.25131122e-18j  2.56654130e-01-3.99741486e-18j
   3.85207774e-02-1.11567741e-18j ... -2.38568397e-03-7.11492474e-18j
  -1.41098075e-02-1.02591727e-19j  3.85207774e-02-1.67287272e-18j]]",[0.95451375 0.64111034 0.87280598 0.65629262 0.76972365],1
33.208416,0.225806,0.722222,[0.90540489 0.89833535 0.87533833 ... 0.8496835  0.88330208 0.89833535],"[[0.90540489 0.89833535 0.87533833 ... 0.83115245 0.87533833 0.89833535]
 [0.89833535 0.89833535 0.88330208 ... 0.79093559 0.8496835  0.88330208]
 [0.87533833 0.88330208 0.87533833 ... 0.724149   0.80136252 0.8496835 ]
 ...
 [0.83115245 0.79093559 0.724149   ... 0.83115245 0.8496835  0.8496835 ]
 [0.87533833 0.8496835  0.80136252 ... 0.8496835  0.87533833 0.88330208]
 [0.89833535 0.88330208 0.8496835  ... 0.8496835  0.88330208 0.89833535]]","[[ 7.20610701e-01+0.00000000e+00j  2.64370793e-01+5.73830153e-18j
   4.66980214e-02-1.30091321e-18j ... -7.18649798e-03-6.84907111e-18j
   4.66980214e-02-1.85665581e-18j  2.64370793e-01-5.12199110e-18j]
 [ 2.64370793e-01+3.68616449e-18j  8.81595282e-02+4.77576389e-18j
   2.99116182e-04+6.55852225e-19j ...  2.99116182e-04-2.13795348e-18j
   8.81595282e-02-2.24453456e-18j  2.64370793e-01-2.20426666e-18j]
 [ 4.66980214e-02-7.47692920e-19j  2.99116182e-04-4.68601969e-19j
  -8.08763053e-03+3.37239148e-20j ...  2.99116182e-04-3.04264751e-21j
   4.66980214e-02-3.29380735e-18j  8.81595282e-02+2.19145930e-18j]
 ...
 [-7.18649798e-03-5.59268950e-18j  2.99116182e-04-6.17749509e-18j
   2.99116182e-04+2.83404692e-19j ...  2.84836416e-04-1.69559447e-18j
  -2.63324596e-03-4.07589596e-18j -7.50230893e-03-2.74382345e-18j]
 [ 4.66980214e-02-7.20007323e-19j  8.81595282e-02-6.59748739e-18j
   4.66980214e-02-3.76428290e-18j ... -2.63324596e-03-3.90830624e-18j
  -8.08763053e-03+4.13861652e-19j  2.99116182e-04+9.23229098e-19j]
 [ 2.64370793e-01-2.03185757e-18j  2.64370793e-01+2.66987837e-18j
   8.81595282e-02-2.32590118e-18j ... -7.50230893e-03-7.40519102e-18j
   2.99116182e-04+4.99072076e-19j  8.81595282e-02-4.25676564e-18j]]",[0.89454185 0.53169038 0.81135193 0.559556   0.7206107 ],1
34.676464,0.268908,0.738095,[0.96797045 0.96534702 0.95657622 ... 0.94632576 0.95965606 0.96534702],"[[0.96797045 0.96534702 0.95657622 ... 0.93858643 0.95657622 0.96534702]
 [0.96534702 0.96534702 0.95965606 ... 0.9207212  0.94632576 0.95965606]
 [0.95657622 0.95965606 0.95657622 ... 0.88730587 0.92550304 0.94632576]
 ...
 [0.93858643 0.9207212  0.88730587 ... 0.93858643 0.94632576 0.94632576]
 [0.95657622 0.94632576 0.92550304 ... 0.94632576 0.95657622 0.95965606]
 [0.96534702 0.95965606 0.94632576 ... 0.94632576 0.95965606 0.96534702]]","[[ 0.68673866+0.00000000e+00j  0.28659966+1.83296248e-18j
   0.0175905 -9.78426821e-19j ... -0.01964238-5.77540431e-18j
   0.0175905 -6.89923390e-19j  0.28659966-2.04495223e-18j]
 [ 0.28659966+6.77201658e-18j  0.06396154+1.32450294e-18j
  -0.02095367+2.48501692e-19j ... -0.02095367-1.32870052e-18j
   0.06396154-3.69456909e-19j  0.28659966+5.63217620e-18j]
 [ 0.0175905 -5.02515443e-19j -0.02095367-2.40792048e-18j
  -0.01014473+1.05308632e-18j ... -0.02095367-2.98075593e-19j
   0.0175905 -6.16527350e-19j  0.06396154+4.31145786e-18j]
 ...
 [-0.01964238-4.70032374e-18j -0.02095367-4.71450622e-18j
  -0.02095367+1.58754946e-18j ...  0.00211701+2.10040014e-18j
   0.00221065-3.58355273e-19j -0.00735258-1.10710707e-17j]
 [ 0.0175905 -4.95037026e-19j  0.06396154+9.86289423e-19j
   0.0175905 -7.79221086e-19j ...  0.00221065+3.77675341e-20j
  -0.01014473+7.44612338e-20j -0.02095367-2.78621226e-18j]
 [ 0.28659966-4.90304573e-18j  0.28659966-5.16050030e-18j
   0.06396154-4.37927482e-18j ... -0.00735258-4.86672447e-18j
  -0.02095367+8.41248902e-19j  0.06396154-4.75965558e-18j]]",[0.9205296  0.53883627 0.80484785 0.55530451 0.68673866],1
31.433041,0.296875,0.55,[0.96414256 0.96211685 0.9555602  ... 0.94820819 0.95782926 0.96211685],"[[0.96414256 0.96211685 0.9555602  ... 0.94281465 0.9555602  0.96211685]
 [0.96211685 0.96211685 0.95782926 ... 0.93070899 0.94820819 0.95782926]
 [0.9555602  0.95782926 0.9555602  ... 0.90878538 0.93391103 0.94820819]
 ...
 [0.94281465 0.93070899 0.90878538 ... 0.94281465 0.94820819 0.94820819]
 [0.9555602  0.94820819 0.93391103 ... 0.94820819 0.9555602  0.95782926]
 [0.96211685 0.95782926 0.94820819 ... 0.94820819 0.95782926 0.96211685]]","[[ 6.92723731e-01+0.00000000e+00j  2.89437718e-01-8.49585772e-19j
  -7.47235934e-03+5.79085951e-20j ... -1.66010533e-02-3.85674267e-18j
  -7.47235934e-03+8.90594795e-20j  2.89437718e-01+1.22115915e-18j]
 [ 2.89437718e-01-3.00378074e-18j  3.38124335e-02-1.02890758e-18j
  -2.59985243e-02-3.12680091e-19j ... -2.59985243e-02-6.07538333e-19j
   3.38124335e-02-5.43556188e-19j  2.89437718e-01+1.93615193e-18j]
 [-7.47235934e-03+1.47802568e-19j -2.59985243e-02+1.67090743e-18j
  -3.10043359e-03+1.23578629e-19j ... -2.59985243e-02+1.77015857e-18j
  -7.47235934e-03+2.23053278e-19j  3.38124335e-02-5.97802475e-18j]
 ...
 [-1.66010533e-02-6.42180825e-18j -2.59985243e-02+7.48704482e-19j
  -2.59985243e-02+1.21287848e-18j ...  3.61566949e-04+1.94735002e-18j
   4.16812419e-03-5.85123719e-19j -3.33955037e-04-1.10987439e-17j]
 [-7.47235934e-03+1.08653724e-19j  3.38124335e-02+7.36708647e-19j
  -7.47235934e-03+1.51156519e-19j ...  4.16812419e-03+3.59002701e-19j
  -3.10043359e-03+1.35801587e-19j -2.59985243e-02+1.64202705e-18j]
 [ 2.89437718e-01+2.73498298e-18j  2.89437718e-01-8.23729582e-18j
   3.38124335e-02-3.80785869e-19j ... -3.33955037e-04-3.31092735e-18j
  -2.59985243e-02+1.03949574e-18j  3.38124335e-02+4.32766157e-18j]]",[0.95087091 0.58691042 0.82635684 0.59233482 0.69272373],1
