key,L
19.100659_0.485294_0.738462,1.5786629607
25.158153_0.754808_0.554217,1.764637632
26.767569_0.573394_0.594203,1.764637632
28.903524_0.589474_0.743243,1.7387291248
31.605238_0.666667_0.750000,1.7888316923
29.969683_0.665179_0.506667,1.8564949073
28.050753_0.760638_0.658824,1.7713652582
20.660488_0.509901_0.731343,1.5953028773
22.974915_0.666667_0.750000,1.6663010459
27.757324_0.683486_0.532468,1.764637632
18.734485_0.521277_0.800000,1.8123633428
23.524726_0.671429_0.584416,1.764637632
22.957054_0.595506_0.802632,1.692352933
32.971329_0.577670_0.661972,1.8018975189
23.212686_0.514706_0.716418,1.6174879794
27.727154_0.495455_0.634921,1.7190832817
26.646237_0.681818_0.645570,1.7190832817
26.455525_0.524038_0.686567,1.6768527553
33.367906_0.769231_0.686047,1.8281911542
19.050611_0.589286_0.857143,1.9925390453
19.935562_0.571429_0.558824,1.6165656374
22.851573_0.664706_0.802469,1.9189154507
28.178209_0.747191_0.717647,1.7387291248
29.298073_0.592233_0.652778,1.7713652582
25.518236_0.673913_0.725000,1.6663010459
21.880808_0.685714_0.576923,1.6106582872
25.842994_0.522727_0.615385,1.6641236929
21.133803_0.575221_0.544118,1.6165656374
31.533212_0.587156_0.585714,1.7979222621
21.433527_0.656250_0.692308,1.5958517192
24.930810_0.610000_0.675676,1.6768527553
32.841019_0.661765_0.623377,1.8281911542
28.624353_0.657143_0.592105,1.7979222621
29.095478_0.687500_0.675000,1.7713652582
32.274943_0.585106_0.756757,1.7888316923
32.529590_0.571429_0.722222,1.7888316923
23.925860_0.490566_0.687500,1.5890538064
28.160801_0.573394_0.594203,1.7554527066
24.339328_0.509901_0.731343,1.6174879794
26.733981_0.514286_0.681818,1.6768527553
29.473358_0.765625_0.635294,1.7979222621
22.039788_0.578947_0.529412,1.6165656374
29.723764_0.607477_0.597222,1.7979222621
23.744615_0.486486_0.629032,1.6172145209
28.017349_0.486111_0.666667,1.7051014872
29.462587_0.584158_0.680556,1.7375003258
23.164518_0.520000_0.735294,1.6174879794
19.537698_0.596154_0.638889,1.5641014287
30.046296_0.752427_0.566265,1.7979222621
23.416775_0.606061_0.689189,1.6174879794
23.978105_0.592233_0.652778,1.5968759589
31.606247_0.661765_0.623377,1.7979222621
21.203605_0.577273_0.579710,1.6106582872
26.949238_0.587156_0.585714,1.764637632
29.776548_0.604545_0.563380,1.8115227997
30.125432_0.679612_0.602564,1.7979222621
22.325064_0.662162_0.520000,1.7084786091
34.983082_0.604545_0.563380,1.894747784
29.089625_0.607477_0.597222,1.7640694767
27.420748_0.504348_0.564516,1.764637632
22.865623_0.668421_0.696203,1.6174879794
29.878495_0.661290_0.721519,1.7387291248
27.907645_0.608696_0.500000,1.8564949073
23.251421_0.606061_0.689189,1.6174879794
30.543985_0.760000_0.595238,1.7979222621
20.157164_0.575221_0.544118,1.6165656374
26.531324_0.757576_0.607143,1.764637632
22.488678_0.691176_0.607595,1.6172145209
21.152896_0.573864_0.826667,1.8123633428
21.231972_0.665049_0.610390,1.6106582872
17.289263_0.575221_0.544118,1.6165656374
23.579564_0.580645_0.770270,1.692352933
22.457427_0.600000_0.625000,1.6172145209
18.806001_0.514286_0.681818,1.5288854658
21.488526_0.486111_0.666667,1.5641014287
27.014043_0.585106_0.756757,1.7178598375
32.643514_0.573394_0.594203,1.8281911542
20.376073_0.490826_0.650794,1.5641014287
28.202649_0.750000_0.512195,1.8564949073
23.506939_0.660377_0.578947,1.764637632
28.393271_0.765625_0.635294,1.7979222621
34.714941_0.601770_0.528571,1.894747784
30.959372_0.607477_0.597222,1.7979222621
30.406242_0.598214_0.542857,1.8581174508
28.836137_0.747664_0.524390,1.8564949073
25.282350_0.599010_0.671233,1.7074823948
21.315697_0.686364_0.519481,1.6165656374
25.020402_0.586735_0.712329,1.6663010459
24.764842_0.508403_0.508197,1.7237862534
27.745199_0.662162_0.520000,1.8564949073
26.721364_0.608696_0.763158,1.7178598375
23.566131_0.673267_0.628205,1.6172145209
34.360191_0.655963_0.546667,1.894747784
21.032152_0.571429_0.797297,1.8123633428
23.489732_0.678571_0.658228,1.5968759589
23.605628_0.604396_0.776316,1.692352933
26.317807_0.680851_0.700000,1.7074823948
23.118113_0.486486_0.629032,1.6172145209
20.281594_0.490826_0.650794,1.5641014287
31.626811_0.759259_0.793103,1.8298511934
31.475409_0.761682_0.518072,1.894747784
20.578174_0.521552_0.539683,1.6165656374
32.400973_0.757576_0.607143,1.8281911542
21.622607_0.688119_0.620253,1.6172145209
22.307880_0.495455_0.634921,1.5641014287
17.038400_0.582609_0.514706,1.6165656374
34.280158_0.668421_0.696203,1.8097174806
24.634831_0.678571_0.658228,1.7074823948
34.066855_0.660377_0.578947,1.8506884631
25.308806_0.504348_0.564516,1.6942989275
29.518137_0.596774_0.760000,1.7618773501
24.449831_0.655963_0.546667,1.764637632
24.151729_0.518868_0.666667,1.5968759589
25.096715_0.521552_0.539683,1.7014499942
33.066222_0.752747_0.694118,1.7768403133
20.858149_0.666667_0.552632,1.6106582872
23.860818_0.582474_0.726027,1.6174879794
20.880313_0.604545_0.563380,1.6106582872
25.113289_0.587912_0.786667,1.6740091839
32.444223_0.605263_0.514286,1.894747784
30.717285_0.669725_0.539474,1.894747784
29.868063_0.747664_0.524390,1.8564949073
24.296680_0.585714_0.633803,1.6172145209
32.241521_0.691176_0.607595,1.8281911542
27.452589_0.764706_0.571429,1.764637632
22.581677_0.585714_0.633803,1.6172145209
24.963881_0.495050_0.742424,1.6663010459
31.489167_0.676136_0.765432,1.7888316923
34.392998_0.657143_0.592105,1.8506884631
22.257654_0.680556_0.545455,1.6106582872
23.945576_0.603774_0.611111,1.6172145209
20.118605_0.509615_0.696970,1.5288854658
24.295531_0.693182_0.756098,1.6663010459
29.778819_0.684211_0.687500,1.7713652582
24.919996_0.598214_0.542857,1.764637632
26.614849_0.683486_0.532468,1.764637632
24.162510_0.673913_0.725000,1.6663010459
24.032880_0.685714_0.576923,1.764637632
21.190563_0.508621_0.548387,1.6165656374
21.161203_0.663265_0.666667,1.5958517192
20.651446_0.508850_0.587302,1.5722315545
23.562856_0.583333_0.600000,1.6172145209
25.658681_0.593750_0.729730,1.6663010459
19.761369_0.494737_0.808824,1.8123633428
20.991891_0.487179_0.550000,1.6165656374
29.595755_0.775000_0.588235,1.7979222621
27.395091_0.592233_0.652778,1.7190832817
32.568220_0.745000_0.602410,1.8281911542
22.127830_0.520000_0.735294,1.6174879794
25.033271_0.693182_0.756098,1.7178598375
32.236366_0.586735_0.712329,1.7768403133
23.015757_0.691176_0.607595,1.6172145209
23.737343_0.659091_0.533333,1.764637632
31.538429_0.681818_0.645570,1.7715985325
32.843047_0.592105_0.521739,1.894747784
32.054740_0.575472_0.628571,1.8027759431
27.758651_0.663551_0.565789,1.764637632
31.163502_0.601770_0.528571,1.8581174508
21.694136_0.691589_0.551282,1.6106582872
18.280479_0.607477_0.597222,1.6106582872
27.467956_0.577273_0.579710,1.764637632
21.715050_0.500000_0.580645,1.6106582872
32.891887_0.606061_0.689189,1.7768403133
27.815944_0.597938_0.716216,1.7056720829
21.139936_0.504717_0.676923,1.5958517192
20.969197_0.577273_0.579710,1.6106582872
31.948566_0.769231_0.547619,1.894747784
21.559705_0.608696_0.763158,1.692352933
29.624456_0.571429_0.558824,1.8115227997
23.145728_0.600000_0.789474,1.692352933
23.825346_0.602941_0.657534,1.5968759589
22.453816_0.588496_0.536232,1.6106582872
34.260633_0.747525_0.590361,1.8506884631
26.531534_0.523364_0.651515,1.7074823948
34.990752_0.663551_0.565789,1.894747784
21.144713_0.590909_0.571429,1.6106582872
25.850702_0.663551_0.565789,1.764637632
27.770343_0.678571_0.500000,1.8564949073
30.382279_0.690722_0.662500,1.7713652582
30.397569_0.744318_0.729412,1.7768403133
29.174572_0.755435_0.682353,1.7713652582
32.737915_0.760638_0.658824,1.8281911542
22.314973_0.521008_0.500000,1.7084786091
20.597005_0.688679_0.564103,1.6106582872
30.204416_0.755435_0.682353,1.7713652582
27.909287_0.747664_0.524390,1.8564949073
25.749208_0.573276_0.507463,1.8188758321
24.626326_0.598214_0.542857,1.764637632
23.352763_0.514286_0.681818,1.5968759589
30.739471_0.770408_0.611765,1.7979222621
23.122926_0.586207_0.828947,1.9189154507
25.592321_0.573276_0.507463,1.8188758321
26.048954_0.608696_0.763158,1.7178598375
24.399645_0.664894_0.708861,1.6663010459
23.710785_0.515152_0.750000,1.6174879794
33.738514_0.599010_0.671233,1.8281911542
32.775711_0.762376_0.583333,1.894747784
30.546119_0.589474_0.743243,1.7387291248
19.250073_0.504237_0.524590,1.6165656374
28.753025_0.587156_0.585714,1.7640694767
24.579384_0.571429_0.722222,1.6663010459
33.579865_0.750000_0.705882,1.7888316923
18.734473_0.490291_0.723077,1.5369451977
28.878684_0.602041_0.702703,1.7375003258
27.283986_0.663551_0.565789,1.764637632
32.764383_0.750000_0.578313,1.894747784
24.812275_0.587912_0.786667,1.6740091839
33.431758_0.675258_0.670886,1.8281911542
34.302928_0.775000_0.795455,1.9195533107
30.228149_0.663265_0.666667,1.7713652582
26.911892_0.688119_0.620253,1.764637632
29.591562_0.581081_0.565217,1.8115227997
26.518323_0.582474_0.726027,1.6768527553
27.345621_0.747368_0.654762,1.7190832817
32.346779_0.755435_0.682353,1.8281911542
30.173530_0.581081_0.565217,1.8115227997
26.197002_0.747525_0.590361,1.764637632
30.064768_0.678571_0.658228,1.7713652582
20.472769_0.595506_0.802632,1.8123633428
29.771087_0.575472_0.628571,1.7640694767
23.974128_0.690217_0.716049,1.6663010459
24.024479_0.666667_0.552632,1.764637632
30.762512_0.670330_0.737500,1.7768403133
21.941224_0.580000_0.694444,1.6174879794
19.206438_0.582609_0.514706,1.6165656374
33.788174_0.688119_0.620253,1.8281911542
19.879792_0.611111_0.583333,1.6106582872
25.382300_0.651786_0.513514,1.764637632
28.411020_0.650685_0.927711,2.6637914936
26.026317_0.564516_0.780822,1.7170688877
16.570697_0.483333_0.869565,1.9254968203
30.309071_0.656627_0.827160,1.8261854218
34.507650_0.730000_0.609756,1.8281911542
20.697697_0.542105_0.774648,1.644015014
20.926056_0.620253_0.887500,2.2095330958
25.132813_0.516129_0.814286,1.8687133731
24.825872_0.644330_0.688312,1.6768527553
29.317218_0.542105_0.774648,1.7618773501
32.545358_0.739130_0.690476,1.7768403133
22.699675_0.564516_0.780822,1.692352933
29.998568_0.629412_0.822785,1.8261854218
34.574069_0.704225_0.918605,2.1374040817
34.568227_0.714286_0.562500,1.894747784
22.414937_0.657143_0.952381,2.5307205126
24.318525_0.647959_0.675325,1.5968759589
18.945126_0.540816_0.742857,1.644015014
25.933256_0.703947_0.870588,2.4060266241
33.925830_0.651163_0.800000,1.847078265
30.824028_0.735294_0.764706,1.7618773501
25.553968_0.539474_0.553846,1.764637632
17.838326_0.459459_0.650000,1.5065491706
20.084021_0.628440_0.561644,1.6106582872
18.427316_0.457983_0.543860,1.5618560773
21.133208_0.559633_0.602941,1.6106582872
32.334526_0.683099_0.929412,2.8122664713
18.810465_0.531250_0.584615,1.5722315545
30.828639_0.746154_0.955056,2.8109149245
21.652721_0.617347_0.693333,1.5958517192
33.516889_0.723077_0.965909,2.8122664713
28.459235_0.703125_0.666667,1.7713652582
19.799421_0.422018_0.706897,1.5369451977
18.303377_0.446721_0.509091,1.5622417483
26.925454_0.625000_0.875000,2.4060266241
23.224943_0.527174_0.816901,1.9189154507
34.323427_0.625000_0.575342,1.8506884631
19.788923_0.427966_0.581818,1.5313062711
19.120452_0.600000_0.937500,2.5626747418
19.088495_0.554054_0.582090,1.6106582872
20.717164_0.636364_0.671053,1.5958517192
15.160410_0.500000_0.916667,2.1409409982
21.809207_0.550000_0.714286,1.6174879794
19.925961_0.461165_0.746032,1.5786629607
18.958531_0.556522_0.530303,1.6165656374
22.106947_0.650485_0.618421,1.6172145209
25.586387_0.727273_0.954545,2.6855832632
20.473540_0.628571_0.608108,1.6106582872
31.124708_0.553571_0.880000,1.9662234038
27.862803_0.531250_0.584615,1.7554527066
20.752660_0.661972_0.940476,2.5307205126
22.601350_0.614865_0.938272,2.5307205126
20.249783_0.598592_0.975309,2.5626747418
33.565566_0.555556_0.617647,1.8281911542
19.584570_0.547170_0.647059,1.5641014287
22.313558_0.544304_0.934211,2.5307205126
22.234959_0.540541_0.590909,1.6188283234
31.635878_0.554054_0.582090,1.8115227997
30.124489_0.548673_0.560606,1.8115227997
26.962734_0.707792_0.858824,2.4060266241
30.635223_0.614286_0.616438,1.7979222621
30.689652_0.695652_0.941860,2.8109149245
34.714721_0.609589_0.950617,2.3529720319
25.899724_0.563636_0.588235,1.764637632
30.598878_0.615854_0.860759,1.9662234038
30.233329_0.638393_0.520548,1.8564949073
22.251952_0.540816_0.742857,1.6174879794
31.194153_0.717391_0.931034,2.8109149245
23.667880_0.529661_0.507937,1.7084786091
19.509566_0.566265_0.881579,2.2095330958
32.504221_0.675676_0.904762,2.1374040817
25.567363_0.576471_0.855263,1.9412594839
22.392892_0.671233_0.916667,2.5307205126
31.461612_0.625000_0.575342,1.7979222621
28.280303_0.537234_0.788732,1.7649246289
28.698724_0.696429_0.795181,1.7649246289
22.833965_0.525641_0.523810,1.7084786091
28.136655_0.552885_0.666667,1.7074823948
25.353165_0.625000_0.913580,2.3902172869
34.744835_0.732673_0.597561,1.8506884631
22.933002_0.557895_0.763889,1.692352933
21.850019_0.565789_0.948718,2.5307205126
31.715594_0.740741_0.802326,1.8298511934
31.111856_0.740000_0.862069,1.9662234038
28.828248_0.753731_0.932584,2.6637914936
29.139885_0.574324_0.962025,2.6637914936
20.681474_0.552632_0.545455,1.6165656374
26.546521_0.563953_0.853333,1.9425267798
32.471809_0.718750_0.977273,2.8122664713
24.134716_0.630435_0.975904,2.6855832632
29.903449_0.625000_0.951220,2.6637914936
22.398912_0.638393_0.520548,1.7084786091
25.309776_0.633333_0.769231,1.7178598375
33.672372_0.640000_0.657895,1.8281911542
18.857544_0.631818_0.547945,1.6165656374
31.334689_0.695946_0.894118,2.1374040817
18.452014_0.582278_0.910256,2.3155979203
27.518455_0.550000_0.714286,1.7056720829
24.136826_0.614679_0.569444,1.764637632
27.674169_0.691781_0.905882,2.6637914936
16.924040_0.554054_0.974359,2.4780258699
32.636700_0.711538_0.575000,1.894747784
15.397501_0.553571_0.880000,1.9254968203
21.664338_0.571429_0.935897,2.5307205126
20.986669_0.551948_0.948052,2.4033447023
26.569100_0.643564_0.644737,1.7190832817
20.550491_0.455882_0.761905,1.644015014
22.676849_0.668831_0.879518,2.2823155941
17.301650_0.530120_0.905405,2.0940622623
32.249602_0.638554_0.837500,1.9662234038
31.309246_0.618182_0.555556,1.894747784
31.660985_0.721649_0.646341,1.8281911542
32.386715_0.559783_0.794521,1.8074382394
34.165584_0.603448_0.818182,1.9195533107
18.102040_0.449541_0.683333,1.5288854658
33.883541_0.708333_0.906977,2.1374040817
26.592219_0.542373_0.500000,1.8188758321
32.922649_0.594595_0.950000,2.6914064958
27.816294_0.738095_0.977528,2.6637914936
20.437482_0.611765_0.833333,1.8123633428
27.511468_0.689024_0.819277,1.7649246289
20.342367_0.718750_0.977273,2.5626747418
30.384333_0.610390_0.912500,2.3321213236
21.003393_0.342105_0.720000,1.5187943141
22.745879_0.543478_0.538462,1.6787220636
24.504842_0.569307_0.690141,1.6174879794
19.350223_0.370968_0.541667,1.5271355107
17.589508_0.460000_0.781250,1.6053304138
27.724393_0.611607_0.535211,1.764637632
29.073275_0.528571_0.671642,1.7113272907
24.808949_0.618182_0.555556,1.764637632
26.676198_0.723077_0.965909,2.6637914936
21.706000_0.691176_0.953488,2.5307205126
19.225084_0.609589_0.950617,2.5626747418
25.455819_0.738532_0.506173,1.764637632
33.078977_0.594595_0.950000,2.6914064958
29.867179_0.732143_0.776471,1.7618773501
29.771818_0.616279_0.820513,1.8261854218
16.812069_0.576923_0.923077,2.2767937291
23.531027_0.636364_0.671053,1.5968759589
31.801155_0.717647_0.773810,1.7888316923
23.263049_0.548673_0.560606,1.6188283234
19.978419_0.612903_0.750000,1.644015014
26.484352_0.629630_0.862500,1.9425267798
23.510180_0.607143_0.846154,2.0003010876
31.568898_0.555556_0.617647,1.7979222621
21.790312_0.547414_0.523077,1.6165656374
17.735783_0.445000_0.793651,1.6053304138
30.066037_0.614679_0.569444,1.7979222621
19.153636_0.596154_0.911392,2.2095330958
24.140388_0.581395_0.842105,2.0003010876
19.522289_0.478261_0.583333,1.5722315545
33.130575_0.758065_0.977778,2.8122664713
32.438390_0.621053_0.723684,1.7888316923
31.940477_0.621359_0.635135,1.8281911542
28.355458_0.629213_0.782051,1.7649246289
26.011447_0.597561_0.871795,1.9412594839
29.330028_0.568966_0.840000,1.8261854218
22.888037_0.574074_0.896104,2.2823155941
29.974663_0.612903_0.750000,1.7387291248
34.481849_0.566265_0.881579,2.1374040817
17.805654_0.544643_0.575758,1.6165656374
29.365721_0.561947_0.552239,1.8564949073
27.859211_0.706522_0.707317,1.7375003258
18.917099_0.560000_0.961538,2.4233361595
19.240256_0.448980_0.812500,1.7237884105
30.277666_0.557692_0.935065,2.4542924905
28.729753_0.629630_0.862500,2.3321213236
32.308206_0.695652_0.941860,2.8122664713
30.590549_0.703488_0.771084,1.7618773501
26.984451_0.611111_0.583333,1.764637632
21.735819_0.330579_0.630435,1.4517645046
33.267031_0.664706_0.802469,1.8074382394
30.631756_0.757353_0.921348,2.6637914936
34.901592_0.653846_0.878049,2.1374040817
30.656632_0.711538_0.847059,1.9662234038
24.009535_0.700000_0.625000,1.764637632
31.825355_0.548673_0.560606,1.8581174508
33.710981_0.660000_0.903614,2.1374040817
27.633797_0.717647_0.773810,1.7178598375
29.975446_0.617347_0.693333,1.7375003258
25.382174_0.535000_0.724638,1.6663010459
18.046191_0.565421_0.623188,1.5722315545
31.524293_0.706897_0.759036,1.7888316923
23.090801_0.646226_0.586667,1.6172145209
24.573742_0.642045_0.784810,1.6740091839
27.674491_0.612903_0.750000,1.7178598375
20.657055_0.546875_0.760563,1.644015014
32.323819_0.602410_0.858974,1.9662234038
31.465166_0.568750_0.909091,2.4542924905
28.619884_0.630137_0.939024,2.6637914936
20.938675_0.700000_0.977011,2.5626747418
31.064321_0.696429_0.795181,1.8261854218
26.414271_0.641593_0.506849,1.764637632
22.637989_0.546875_0.760563,1.692352933
33.730073_0.720588_0.592593,1.8281911542
34.733575_0.611607_0.535211,1.894747784
32.665899_0.574074_0.896104,2.2313512922
23.165354_0.721429_0.919540,2.5307205126
32.971348_0.664179_0.976471,2.8122664713
27.930473_0.580000_0.949367,2.6637914936
22.846924_0.552632_0.545455,1.6106582872
32.657957_0.738532_0.506173,1.894747784
18.669198_0.477679_0.622951,1.5065491706
20.365332_0.631818_0.547945,1.6165656374
23.226688_0.560976_0.894737,2.2823155941
27.435149_0.636842_0.714286,1.7056720829
32.884207_0.716667_0.722892,1.7888316923
17.498277_0.524390_0.918919,2.2767937291
20.134921_0.528090_0.847222,1.8123633428
23.594151_0.735294_0.931818,2.6855832632
29.644021_0.685185_0.831325,1.8261854218
25.997324_0.649351_0.890244,2.4060266241
31.169384_0.782258_0.967033,2.8109149245
33.627860_0.712766_0.682927,1.8281911542
15.417572_0.630137_0.939024,2.2767937291
21.865372_0.579268_0.883117,1.9888205742
24.942917_0.571429_0.868421,1.9412594839
21.701952_0.594118_0.844156,1.9888205742
27.461447_0.713483_0.734940,1.7387291248
34.658636_0.670732_0.829268,1.9195533107
34.754970_0.616279_0.820513,1.9195533107
27.290214_0.649351_0.890244,2.4060266241
25.881263_0.703704_0.821429,1.9412594839
31.141398_0.611111_0.873418,1.9662234038
34.234914_0.559783_0.794521,1.8211118163
30.966154_0.765625_0.955556,2.8109149245
22.539638_0.567010_0.736111,1.6174879794
33.742170_0.662500_0.853659,1.9195533107
23.198300_0.613402_0.706667,1.6174879794
19.466864_0.675676_0.904762,2.2095330958
19.843514_0.472973_0.639344,1.5065491706
16.449955_0.568493_0.974684,2.4780258699
33.295067_0.716216_0.883721,2.1374040817
22.899088_0.612903_0.750000,1.6174879794
31.247609_0.652174_0.964286,2.8109149245
19.572246_0.621495_0.589041,1.6106582872
34.687027_0.743421_0.850575,2.1374040817
33.773444_0.735294_0.931818,2.1374040817
21.482742_0.560345_0.515152,1.6165656374
18.821573_0.482301_0.606557,1.5722315545
26.416381_0.730000_0.609756,1.764637632
30.725883_0.632979_0.727273,1.7768403133
32.103193_0.772727_0.933333,2.8122664713
30.294523_0.618182_0.555556,1.8115227997
